Id,Title,URL,Short Intro,Category,Sub-Category,Course Type,Language,Skills,Instructors,Rating,Number of viewers,Duration,Site
1300,Cloud Computing Law: Data Protection and Cybersecurity,https://www.coursera.org/learn/cloud-computing-law-data-protection-and-cybersecurity?specialization=cloud-computing-law,"Vast amounts of personal information are processed in the cloud. But who is legally responsible for such ‘personal data’ in cloud environments? What duties do cloud providers like Amazon, Microsoft, and Google have? And what rights can you, as an individual, exercise under data protection law? If you’d like to find out, then this course is for you!",Social Sciences,Law,Course,English,"Cybersecurity Regulation,Cloud Services,General Data Protection Regulation (GDPR),International Transfers of Personal Data,Cloud Computing,",Christopher Millard,5.0,22 ,Approx. 16 hours to complete,Coursera
960,Regression Analysis: Simplify Complex Data Relationships,https://www.coursera.org/learn/regression-analysis-simplify-complex-data-relationships,"This is the fifth of seven courses in the Google Advanced Data Analytics Certificate. Data professionals use regression analysis to discover the relationships between different variables in a dataset and identify key factors that affect business performance. In this course, you’ll practice modeling variable relationships. You'll learn about different methods of data modeling and how to use them to approach business problems. You’ll also explore methods such as linear regression, analysis of variance (ANOVA), and logistic regression.  ",Data Science,Data Analysis,Course,English,"Predictive Modelling,Statistical Analysis,Python Programming,Effective Communication,regression modeling,",Google Career Certificates,5.0,22 ,Approx. 28 hours to complete,Coursera
1988,Road to the CISO – Culminating Project Course,https://www.coursera.org/learn/road-to-ciso?specialization=managing-cybersecurity,"The ultimate destination for a security manager is the Chief Information Security Officer (or Chief Security Officer) a senior executive role responsible for all cybersecurity operations in the organization. But how do you get from entry-level IT or security employee to the CISO’s office and what do you need to know when you get there? This course examines the career path and requirements to be an effective CISO, as well as the roles and responsibilities of the position.",Information Technology,Security,Course,English,"Cyber-Security Regulation,Cybersecurity Staffing,Risk Management,Contingency Plan,Cybersecurity Governance,","Herbert J. Mattord, Ph.D., CISM, CISSP, CDP",5.0,15 ,Approx. 18 hours to complete,Coursera
440,Google Business Intelligence Professional Certificate,https://www.coursera.org/professional-certificates/google-business-intelligence,"Learn in-demand skills like data modeling, data visualization, and dashboarding and reporting in less than 2 months.",Data Science,Data Analysis,Professional Certificate,English,"Data Modeling,Business Analysis,Bigquery,Sheets,Data Analysis,Extraction, Transformation And Loading (ETL),Business Process,Tableau Software,Data Visualization (DataViz),Business Intelligence,SQL,Dashboarding and Reporting,",Google Career Certificates,5.0,69 reviews,2 months at 10 hours a week,Coursera
2401,Project Valuation and the Capital Budgeting Process,https://www.coursera.org/learn/project-valuation-and-the-capital-budgeting-process?specialization=finance-for-technical-managers,"This course describes the economic viability of an engineering project through the application of net present value, internal rate of return, and payback period analysis. The impacts of depreciation, taxes, inflation, and foreign exchange are addressed. The capital budgeting process is discussed, showing how companies make decisions to optimize their investment portfolio. Risk is mitigated through the application of quantitative techniques such as scenario analysis, sensitivity analysis, and real options analysis.",Business,Leadership and Management,Course,English,"Project Valuation: NPV IRR and Payback Period,Creating a Compelling Project Business Case,Discounted Cash Flow Analysis,Project Selection Techniques,","Michael J. Readey, Ph.D.",5.0,20 ,Approx. 17 hours to complete,Coursera
2484,Uncommon Sense Teaching: Teaching Online,https://www.coursera.org/learn/teaching-online?specialization=uncommon-sense-teaching-certificate,"In Uncommon Sense Teaching: TEACHING ONLINE we’d like to help you to move toward fresh approaches to online teaching that build on the latest insights from scientific research. We’ll use insights from movie-making—not to mention from odd visual tricks in Barb’s kitchen—to see how students learn, both independently and together. We all know, for example, that social learning is valuable in helping students grapple with tough concepts as well as in making learning more fun. But if you understand what is happening in the brain during social learning, you can also understand why certain approaches commonly used in online learning, such as discussion forums, can sometimes pose a challenge.  As you will see, we can use insights from neuroscience not only to motivate our students, but to help them change their very identity.  ",Social Sciences,Education,Course,English,"teaching online,Online Education,online teacher,web-based training,Learning,",Barbara Oakley,5.0,20 ,Approx. 14 hours to complete,Coursera
443,Análisis de Datos de Google Professional Certificate,https://www.coursera.org/professional-certificates/analisis-de-datos-de-google,El comienzo de tu carrera en el análisis de datos. Con este programa adquirirás habilidades que te prepararán para trabajar en menos de 6 meses. No se requiere título ni experiencia previa.,Ciencia de Datos,Análisis de Datos,Professional Certificate,Spanish,"Visualización de Datos (DataViz),Limpieza de datos,Hoja de cálculo,análisis de datos,SQL,Cuestionamiento,Resolución de problemas,Toma de decisiones,Recopilación de datos,Metadatos,Ética de datos,Determinación del tamaño de la muestra,Integridad de datos,Cálculos en torno a los datos,Agregación de datos,Tableau Software,presentación,Programación en R,R Markdown,Rstudio,Portfolio de trabajo,Caso práctico,",Google Career Certificates,5.0,"3,735 reviews",6 months at 10 hours a week,Coursera
652,Leadership Skills,https://www.coursera.org/learn/leadershipskills,"Welcome to the Leadership Skills course! In our increasingly complex world, understanding the practice of leadership is critical. In simpler words, leadership is the practice of influencing people to meet the challenges that will enable them to achieve important individual and organizational goals. This course provides a foundation for leadership practice and aims to take you on a journey of self-discovery. You will also gain insight into building inner stability and developing your leadership skills.",Business,Leadership and Management,Course,English,"Leading and managing change in organisation,Supportive communication,Leading subordinates effectively,Mindfulness,Positive Personality,",Vishal Gupta,5.0,22 ,Approx. 46 hours to complete,Coursera
1034,Gestión con enfoque en riesgos en proyectos de desarrollo,https://www.coursera.org/learn/gestion-con-enfoque-en-riesgos-en-proyectos-de-desarrollo?specialization=especializacion-en-diseno-y-gestion-de-proyectos-de-desarrollo,¿Sabías que cada decisión que tomamos en nuestras acciones diarias implica riesgos? ,Social Sciences,Governance and Society,Course,Spanish,"Gestión de proyectos,Gestión de riesgos,Análisis e identificación de riesgos,Priorización de riesgos,Planificación estratégica,",Claudia Useche,5.0,27 ,Approx. 14 hours to complete,Coursera
292,Uncommon Sense Teaching Specialization,https://www.coursera.org/specializations/uncommon-sense-teaching-certificate,Advance Your Career in Teaching. Master strategies and tools to effectively reach and teach students based on leading edge insights,Social Sciences,Education,Specialization,English,"social-emotional learning, online teaching, active learning, neurodiversity, Teaching, diversity, inclusive, teaching strategies, Lesson Plan, strategies in teaching, social emotional, teaching online, ","Barbara Oakley ,Beth Rogowsky ,Dr. Terrence Sejnowski ,David Joyner ,",5.0,94 ,Approximately 3 months to complete,Coursera
